Time,timeFromLastRepair,timeToNextRepair
40569.07916667,1.25625,23.16180333
40569.08125,1.25833333,23.15972
40569.08333333,1.26041666,23.15763667
40569.08541667,1.2625,23.15555333
40569.0875,1.26458333,23.15347
40569.08958333,1.26666666,23.15138667
40569.09166667,1.26875,23.14930333
40569.09375,1.27083333,23.14722
40569.09583333,1.27291666,23.14513667
40569.09791667,1.275,23.14305333
40569.1,1.27708333,23.14097
40569.10208333,1.27916666,23.13888667
40569.10416667,1.28125,23.13680333
40569.10625,1.28333333,23.13472
40569.10833333,1.28541666,23.13263667
40569.11041667,1.2875,23.13055333
40569.1125,1.28958333,23.12847
40569.11458333,1.29166666,23.12638667
40569.11666667,1.29375,23.12430333
40569.11875,1.29583333,23.12222
40569.12083333,1.29791666,23.12013667
40569.12291667,1.3,23.11805333
40569.125,1.30208333,23.11597
40569.12708333,1.30416666,23.11388667
40569.12916667,1.30625,23.11180333
40569.13125,1.30833333,23.10972
40569.13333333,1.31041666,23.10763667
40569.13541667,1.3125,23.10555333
40569.1375,1.31458333,23.10347
40569.13958333,1.31666666,23.10138667
40569.14166667,1.31875,23.09930333
40569.14375,1.32083333,23.09722
40569.14583333,1.32291666,23.09513667
40569.14791667,1.325,23.09305333
40569.15,1.32708333,23.09097
40569.15208333,1.32916666,23.08888667
40569.15416667,1.33125,23.08680333
40569.15625,1.33333333,23.08472
40569.15833333,1.33541666,23.08263667
40569.16041667,1.3375,23.08055333
40569.1625,1.33958333,23.07847
40569.16458333,1.34166666,23.07638667
40569.16666667,1.34375,23.07430333
40569.16875,1.34583333,23.07222
40569.17083333,1.34791666,23.07013667
40569.17291667,1.35,23.06805333
40569.175,1.35208333,23.06597
40569.17708333,1.35416666,23.06388667
40569.17916667,1.35625,23.06180333
40569.18125,1.35833333,23.05972
40569.18333333,1.36041666,23.05763667
40569.18541667,1.3625,23.05555333
40569.1875,1.36458333,23.05347
40569.18958333,1.36666666,23.05138667
40569.19166667,1.36875,23.04930333
40569.19375,1.37083333,23.04722
40569.19583333,1.37291666,23.04513667
40569.19791667,1.375,23.04305333
40569.2,1.37708333,23.04097
40569.20208333,1.37916666,23.03888667
40569.20416667,1.38125,23.03680333
40569.20625,1.38333333,23.03472
40569.20833333,1.38541666,23.03263667
40569.21041667,1.3875,23.03055333
40569.2125,1.38958333,23.02847
40569.21458333,1.39166666,23.02638667
40569.21666667,1.39375,23.02430333
40569.21875,1.39583333,23.02222
40569.22083333,1.39791666,23.02013667
40569.22291667,1.4,23.01805333
40569.225,1.40208333,23.01597
40569.22708333,1.40416666,23.01388667
40569.22916667,1.40625,23.01180333
40569.23125,1.40833333,23.00972
40569.23333333,1.41041666,23.00763667
40569.23541667,1.4125,23.00555333
40569.2375,1.41458333,23.00347
40569.23958333,1.41666666,23.00138667
40569.24166667,1.41875,22.99930333
40569.24375,1.42083333,22.99722
40569.24583333,1.42291666,22.99513667
40569.24791667,1.425,22.99305333
40569.25,1.42708333,22.99097
40569.25208333,1.42916666,22.98888667
40569.25416667,1.43125,22.98680333
40569.25625,1.43333333,22.98472
40569.25833333,1.43541666,22.98263667
40569.26041667,1.4375,22.98055333
40569.2625,1.43958333,22.97847
40569.26458333,1.44166666,22.97638667
40569.26666667,1.44375,22.97430333
40569.26875,1.44583333,22.97222
40569.27083333,1.44791666,22.97013667
40569.27291667,1.45,22.96805333
40569.275,1.45208333,22.96597
40569.27708333,1.45416666,22.96388667
40569.27916667,1.45625,22.96180333
40569.28125,1.45833333,22.95972
40569.28333333,1.46041666,22.95763667
40569.28541667,1.4625,22.95555333
40569.2875,1.46458333,22.95347
40569.28958333,1.46666666,22.95138667
40569.29166667,1.46875,22.94930333
40569.29375,1.47083333,22.94722
40569.29583333,1.47291666,22.94513667
40569.29791667,1.475,22.94305333
40569.3,1.47708333,22.94097
40569.30208333,1.47916666,22.93888667
40569.30416667,1.48125,22.93680333
40569.30625,1.48333333,22.93472
40569.30833333,1.48541666,22.93263667
40569.31041667,1.4875,22.93055333
40569.3125,1.48958333,22.92847
40569.31458333,1.49166666,22.92638667
40569.31666667,1.49375,22.92430333
40569.31875,1.49583333,22.92222
40569.32083333,1.49791666,22.92013667
40569.32291667,1.5,22.91805333
40569.325,1.50208333,22.91597
40569.32708333,1.50416666,22.91388667
40569.32916667,1.50625,22.91180333
40569.33125,1.50833333,22.90972
40569.33333333,1.51041666,22.90763667
40569.33541667,1.5125,22.90555333
40569.3375,1.51458333,22.90347
40569.33958333,1.51666666,22.90138667
40569.34166667,1.51875,22.89930333
40569.34375,1.52083333,22.89722
40569.34583333,1.52291666,22.89513667
40569.34791667,1.525,22.89305333
40569.35,1.52708333,22.89097
40569.35208333,1.52916666,22.88888667
40569.35416667,1.53125,22.88680333
40569.35625,1.53333333,22.88472
40569.35833333,1.53541666,22.88263667
40569.36041667,1.5375,22.88055333
40569.3625,1.53958333,22.87847
40569.36458333,1.54166666,22.87638667
40569.36666667,1.54375,22.87430333
40569.36875,1.54583333,22.87222
